================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 03:54:10
Mesh Size: 127x127
Reynolds Number: 100

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
Total System Memory: 18.00 GB

CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-08
Final Residual: 9.996792e-09
Status: Converged after 16860 iterations

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 3715.7393 seconds
Total CPU Time: 5122.6762 seconds
Total Iterations: 16860
Average Wall Time per Iteration: 0.2204 seconds
Peak Memory Usage: 210.11 MB

TIME BREAKDOWN (WALL TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5794 seconds (1.36%)
Pressure Equation: 3653.6198 seconds (98.33%)
Velocity Update: 8.8062 seconds (0.24%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5654 seconds (0.07%)

TIME BREAKDOWN (CPU TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5679 seconds (0.99%)
Pressure Equation: 5060.5870 seconds (98.79%)
Velocity Update: 8.8045 seconds (0.17%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5621 seconds (0.05%)

DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err     RSS (MB)     VMS (MB)
  107      34.6732      47.7646 2.142803e-03 2.133777e-03 8.464339e-01          N/A       210.09    400847.55
  108      34.8895      48.0632 2.124119e-03 2.114727e-03 8.464406e-01          N/A       210.09    400847.55
  109      35.0678      48.3159 2.105018e-03 2.096089e-03 8.464532e-01          N/A       210.09    400847.55
  110      35.2853      48.6187 2.086755e-03 2.077622e-03 8.464714e-01          N/A       210.09    400847.55
  111      35.4606      48.8627 2.068337e-03 2.059485e-03 8.464726e-01          N/A       210.09    400847.55
  112      35.6493      49.1248 2.050179e-03 2.041520e-03 8.465021e-01          N/A       210.09    400847.55
  113      35.8362      49.3840 2.032616e-03 2.023783e-03 8.465010e-01          N/A       210.11    400847.55
  114      36.0213      49.6399 2.015099e-03 2.006389e-03 8.465100e-01          N/A       210.11    400847.55
  115      36.2071      49.9001 1.997820e-03 1.989227e-03 8.465222e-01          N/A       210.11    400847.55
  116      36.3930      50.1633 1.980790e-03 1.972286e-03 8.465349e-01          N/A       210.11    400847.55
  117      36.5764      50.4193 1.963978e-03 1.955565e-03 8.465475e-01          N/A       210.11    400847.55
  118      36.7592      50.6724 1.947394e-03 1.939059e-03 8.465603e-01          N/A       210.11    400847.55
  119      36.9414      50.9269 1.931020e-03 1.922783e-03 8.465717e-01          N/A       210.11    400847.55
  120      37.1221      51.1784 1.914867e-03 1.906747e-03 8.465834e-01          N/A       210.11    400847.55
  121      37.3031      51.4291 1.898929e-03 1.890916e-03 8.465955e-01          N/A       210.11    400847.55
  122      37.4828      51.6771 1.883206e-03 1.875285e-03 8.466059e-01          N/A       210.11    400847.55
  123      37.6630      51.9266 1.867656e-03 1.859854e-03 8.466177e-01          N/A       210.11    400847.55
  124      37.8420      52.1732 1.852321e-03 1.844622e-03 8.466285e-01          N/A       210.11    400847.55
  125      38.0208      52.4226 1.837206e-03 1.829585e-03 8.466383e-01          N/A       210.11    400847.55
  126      38.2012      52.6769 1.822235e-03 1.814742e-03 8.466497e-01          N/A       210.11    400847.55
  127      38.3799      52.9253 1.807479e-03 1.800083e-03 8.466601e-01          N/A       210.11    400847.55
  128      38.5582      53.1726 1.792916e-03 1.785610e-03 8.466703e-01          N/A       210.11    400847.55
  129      38.7373      53.4209 1.778553e-03 1.771320e-03 8.466804e-01          N/A       210.11    400847.55
  130      38.9163      53.6735 1.764369e-03 1.757223e-03 8.466894e-01          N/A       210.11    400847.55
  131      39.0948      53.9211 1.750365e-03 1.743318e-03 8.467012e-01          N/A       210.11    400847.55
  132      39.2724      54.1679 1.736531e-03 1.729577e-03 8.467089e-01          N/A       210.11    400847.55
  133      39.4521      54.4166 1.722873e-03 1.716016e-03 8.467205e-01          N/A       210.11    400847.55
  134      39.6316      54.6687 1.709380e-03 1.702612e-03 8.467290e-01          N/A       210.11    400847.55
  135      39.8118      54.9226 1.696054e-03 1.689378e-03 8.467382e-01          N/A       210.11    400847.55
  136      39.9919      55.1765 1.682891e-03 1.676307e-03 8.467475e-01          N/A       210.11    400847.55
  137      40.1705      55.4239 1.669889e-03 1.663395e-03 8.467566e-01          N/A       210.11    400847.55
  138      40.3486      55.6705 1.657045e-03 1.650639e-03 8.467655e-01          N/A       210.11    400847.55
  139      40.5275      55.9194 1.644357e-03 1.638038e-03 8.467744e-01          N/A       210.11    400847.55
  140      40.7063      56.1670 1.632108e-03 1.625786e-03 8.467831e-01          N/A       210.11    400847.55
  141      40.8863      56.4174 1.621428e-03 1.615185e-03 8.467929e-01          N/A       210.11    400847.55
  142      41.0671      56.6711 1.610875e-03 1.604680e-03 8.468001e-01          N/A       210.11    400847.55
  143      41.2480      56.9231 1.600430e-03 1.594291e-03 8.468084e-01          N/A       210.11    400847.55
  144      41.4286      57.1752 1.590083e-03 1.584019e-03 8.468167e-01          N/A       210.11    400847.55
  145      41.6094      57.4250 1.579818e-03 1.573843e-03 8.468261e-01          N/A       210.11    400847.55
  146      41.7899      57.6747 1.569681e-03 1.563758e-03 8.468329e-01          N/A       210.11    400847.55
  147      41.9702      57.9254 1.559624e-03 1.553774e-03 8.468407e-01          N/A       210.11    400847.55
  148      42.1515      58.1787 1.549662e-03 1.543883e-03 8.468485e-01          N/A       210.11    400847.55
  149      42.3353      58.4385 1.539791e-03 1.534084e-03 8.468575e-01          N/A       210.11    400847.55
  150      42.5175      58.6922 1.530016e-03 1.524375e-03 8.468638e-01          N/A       210.11    400847.55
  151      42.6998      58.9441 1.520332e-03 1.514760e-03 8.468711e-01          N/A       210.11    400847.55
  152      42.8823      59.1985 1.510739e-03 1.505234e-03 8.468785e-01          N/A       210.11    400847.55
  153      43.0661      59.4564 1.501240e-03 1.495797e-03 8.468871e-01          N/A       210.11    400847.55
  154      43.2500      59.7128 1.491820e-03 1.486444e-03 8.468930e-01          N/A       210.11    400847.55
  155      43.4329      59.9665 1.482493e-03 1.477183e-03 8.468999e-01          N/A       210.11    400847.55
  156      43.6167      60.2236 1.473253e-03 1.468008e-03 8.469069e-01          N/A       210.11    400847.55
  157      43.8013      60.4805 1.464094e-03 1.458918e-03 8.469151e-01          N/A       210.11    400847.55
  158      43.9855      60.7381 1.455029e-03 1.449907e-03 8.469205e-01          N/A       210.11    400847.55
  159      44.1696      60.9935 1.446044e-03 1.440986e-03 8.469271e-01          N/A       210.11    400847.55
  160      44.3554      61.2523 1.437122e-03 1.432146e-03 8.469350e-01          N/A       210.11    400847.55
  161      44.5415      61.5084 1.428322e-03 1.423385e-03 8.469401e-01          N/A       210.11    400847.55
  162      44.7264      61.7633 1.419584e-03 1.414708e-03 8.469464e-01          N/A       210.11    400847.55
  163      44.9105      62.0182 1.410926e-03 1.406110e-03 8.469527e-01          N/A       210.11    400847.55
  164      45.0974      62.2789 1.402322e-03 1.397591e-03 8.469603e-01          N/A       210.11    400847.55
  165      45.2850      62.5424 1.393847e-03 1.389149e-03 8.469651e-01          N/A       210.11    400847.55
  166      45.4711      62.8012 1.385425e-03 1.380784e-03 8.469710e-01          N/A       210.11    400847.55
  167      45.6571      63.0595 1.377079e-03 1.372496e-03 8.469769e-01          N/A       210.11    400847.55
  168      45.8451      63.3216 1.368798e-03 1.364284e-03 8.469842e-01          N/A       210.11    400847.55
  169      46.0324      63.5822 1.360615e-03 1.356142e-03 8.469886e-01          N/A       210.11    400847.55
  170      46.2200      63.8423 1.352495e-03 1.348078e-03 8.469942e-01          N/A       210.11    400847.55
  171      46.4090      64.1071 1.344449e-03 1.340087e-03 8.470012e-01          N/A       210.11    400847.55
  172      46.5978      64.3700 1.336474e-03 1.332165e-03 8.470053e-01          N/A       210.11    400847.55
  173      46.7860      64.6297 1.328572e-03 1.324317e-03 8.470107e-01          N/A       210.11    400847.55
  174      46.9766      64.8955 1.320744e-03 1.316539e-03 8.470175e-01          N/A       210.11    400847.55
  175      47.1675      65.1630 1.312979e-03 1.308827e-03 8.470214e-01          N/A       210.11    400847.55
  176      47.3584      65.4301 1.305286e-03 1.301188e-03 8.470265e-01          N/A       210.11    400847.55
  177      47.5494      65.6951 1.297657e-03 1.293616e-03 8.470332e-01          N/A       210.11    400847.55
  178      47.7398      65.9548 1.290106e-03 1.286108e-03 8.470368e-01          N/A       210.11    400847.55
  179      47.9479      66.2443 1.282506e-03 1.278671e-03 8.470685e-01          N/A       210.11    400847.55
  180      48.1363      66.5098 1.275311e-03 1.271266e-03 8.470124e-01          N/A       210.11    400847.55
  181      48.3449      66.7997 1.267719e-03 1.264013e-03 8.470825e-01          N/A       210.11    400847.55
  182      48.5339      67.0623 1.260659e-03 1.256719e-03 8.470247e-01          N/A       210.11    400847.55
  183      48.7429      67.3511 1.253182e-03 1.249590e-03 8.470934e-01          N/A       210.11    400847.55
  184      48.9313      67.6127 1.246278e-03 1.242423e-03 8.470321e-01          N/A       210.11    400847.55
  185      49.1413      67.9059 1.238899e-03 1.235418e-03 8.471052e-01          N/A       210.11    400847.55
  186      49.3320      68.1734 1.232148e-03 1.228373e-03 8.470408e-01          N/A       210.11    400847.55
  187      49.5456      68.4737 1.224867e-03 1.221486e-03 8.471151e-01          N/A       210.11    400847.55
  188      49.7328      68.7312 1.218414e-03 1.214565e-03 8.470476e-01          N/A       210.11    400847.55
  189      49.9399      69.0147 1.212124e-03 1.208656e-03 8.471245e-01          N/A       210.11    400847.55
  190      50.1460      69.2986 1.206324e-03 1.202704e-03 8.470879e-01          N/A       210.11    400847.55
  191      50.3520      69.5840 1.200418e-03 1.196849e-03 8.470944e-01          N/A       210.11    400847.55
  192      50.5575      69.8671 1.194553e-03 1.191031e-03 8.470992e-01          N/A       210.11    400847.55
  193      50.7645      70.1516 1.188731e-03 1.185252e-03 8.471056e-01          N/A       210.11    400847.55
  194      50.9692      70.4299 1.182941e-03 1.179512e-03 8.471082e-01          N/A       210.11    400847.55
  195      51.1761      70.7126 1.177196e-03 1.173809e-03 8.471125e-01          N/A       210.11    400847.55
  196      51.3841      71.0014 1.171489e-03 1.168144e-03 8.471168e-01          N/A       210.11    400847.55
  197      51.5916      71.2867 1.165822e-03 1.162517e-03 8.471227e-01          N/A       209.61    400847.55
  198      51.7986      71.5676 1.160194e-03 1.156926e-03 8.471248e-01          N/A       209.05    400847.55
  199      52.0073      71.8552 1.154604e-03 1.151375e-03 8.471287e-01          N/A       209.05    400847.55
  200      52.2171      72.1463 1.149053e-03 1.145862e-03 8.471326e-01 3.191001e-01       205.17    400847.55
  201      52.4267      72.4336 1.143533e-03 1.140385e-03 8.471382e-01          N/A       205.17    400847.55
  202      52.6363      72.7220 1.138065e-03 1.134944e-03 8.471400e-01          N/A       205.17    400847.55
  203      52.8468      73.0138 1.132628e-03 1.129542e-03 8.471438e-01          N/A       205.17    400847.55
  204      53.0582      73.3074 1.127227e-03 1.124176e-03 8.471475e-01          N/A       205.17    400847.55
  205      53.2694      73.5982 1.121863e-03 1.118845e-03 8.471511e-01          N/A       205.17    400847.55
  206      53.4824      73.8979 1.116536e-03 1.113551e-03 8.471547e-01          N/A       205.17    400847.55
  207      53.6954      74.1937 1.111232e-03 1.108292e-03 8.471599e-01          N/A       205.17    400847.55
  208      53.9088      74.4921 1.105991e-03 1.103064e-03 8.471615e-01          N/A       205.17    400847.55
  209      54.1204      74.7846 1.100771e-03 1.097877e-03 8.471648e-01          N/A       205.17    400847.55
  210      54.3325      75.0786 1.095588e-03 1.092723e-03 8.471683e-01          N/A       205.17    400847.55
  211      54.5458      75.3744 1.090439e-03 1.087604e-03 8.471716e-01          N/A       205.17    400847.55
  212      54.7583      75.6692 1.085326e-03 1.082519e-03 8.471750e-01          N/A       205.17    400847.55
  213      54.9702      75.9617 1.080247e-03 1.077468e-03 8.471782e-01          N/A       205.17    400847.55
  214      55.1846      76.2602 1.075197e-03 1.072450e-03 8.471830e-01          N/A       205.17    400847.55
  215      55.3987      76.5592 1.070191e-03 1.067467e-03 8.471843e-01          N/A       205.17    400847.55
  216      55.6121      76.8550 1.065214e-03 1.062516e-03 8.471874e-01          N/A       205.17    400847.55
  217      55.8264      77.1527 1.060270e-03 1.057597e-03 8.471905e-01          N/A       205.17    400847.55
  218      56.0400      77.4503 1.055359e-03 1.052711e-03 8.471936e-01          N/A       205.17    400847.55
  219      56.2533      77.7462 1.050481e-03 1.047857e-03 8.471966e-01          N/A       205.17    400847.55
  220      56.4679      78.0469 1.045636e-03 1.043035e-03 8.471996e-01          N/A       205.17    400847.55
  221      56.6827      78.3466 1.040823e-03 1.038249e-03 8.472026e-01          N/A       205.17    400847.55
  222      56.8967      78.6448 1.036042e-03 1.033501e-03 8.472054e-01          N/A       205.17    400847.55
  223      57.1102      78.9413 1.031293e-03 1.028785e-03 8.472083e-01          N/A       205.17    400847.55
  224      57.3250      79.2407 1.026575e-03 1.024100e-03 8.472111e-01          N/A       205.17    400847.55
  225      57.5397      79.5416 1.021889e-03 1.019445e-03 8.472139e-01          N/A       205.17    400847.55
  226      57.7540      79.8386 1.017233e-03 1.014821e-03 8.472166e-01          N/A       205.17    400847.55
  227      57.9687      80.1390 1.012608e-03 1.010228e-03 8.472194e-01          N/A       205.17    400847.55
  228      58.1847      80.4402 1.008017e-03 1.005666e-03 8.472235e-01          N/A       205.17    400847.55
  229      58.3990      80.7378 1.003451e-03 1.001131e-03 8.472244e-01          N/A       205.17    400847.55
  230      58.6135      81.0362 9.989156e-04 9.966284e-04 8.472270e-01          N/A       205.17    400847.55
  231      58.8291      81.3362 9.944117e-04 9.921559e-04 8.472297e-01          N/A       205.17    400847.55
  232      59.0447      81.6375 9.899363e-04 9.877116e-04 8.472323e-01          N/A       205.17    400847.55
  233      59.2589      81.9345 9.854907e-04 9.832965e-04 8.472349e-01          N/A       205.17    400847.55
