================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 14:29:57
Mesh Size: 127x127
Reynolds Number: 100

ALGORITHM AND SOLVER PARAMETERS
--------------------------------------------------------------------------------
Pressure Relaxation Factor (alpha_p): 0.300
Velocity Relaxation Factor (alpha_u): 0.700
Pressure Solver: MatrixFreeCGSolver
Pressure Solver Tolerance: 1.000000e-05
Pressure Solver Max Iterations: 1000
Momentum Solver: StandardMomentumSolver

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-07
Final Residual: 2.282328e-03
Status: Did not converge (reached maximum iterations)

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 4.8762 seconds
Total CPU Time: 6.5813 seconds
Total Iterations: 100
Average Wall Time per Iteration: 0.0488 seconds
DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err
   78       4.1904       5.7043 2.991709e-03 2.956303e-03 8.467520e-01          N/A 
   79       4.2229       5.7462 2.946332e-03 2.919773e-03 8.469499e-01          N/A 
   80       4.2550       5.7852 2.887907e-03 2.884237e-03 8.468223e-01 4.471837e-01 
   81       4.2838       5.8247 2.848386e-03 2.843565e-03 8.468009e-01          N/A 
   82       4.3116       5.8638 2.810361e-03 2.805664e-03 8.467751e-01          N/A 
   83       4.3433       5.9038 2.773474e-03 2.768623e-03 8.467343e-01          N/A 
   84       4.3710       5.9427 2.737717e-03 2.732312e-03 8.466834e-01          N/A 
   85       4.4016       5.9814 2.702916e-03 2.696881e-03 8.466277e-01          N/A 
   86       4.4295       6.0202 2.669107e-03 2.662311e-03 8.465706e-01          N/A 
   87       4.4619       6.0577 2.636211e-03 2.628590e-03 8.465144e-01          N/A 
   88       4.4900       6.0959 2.604184e-03 2.595731e-03 8.464606e-01          N/A 
   89       4.5247       6.1351 2.572978e-03 2.563841e-03 8.464100e-01          N/A 
   90       4.5570       6.1771 2.542576e-03 2.532765e-03 8.463629e-01 4.207410e-01 
   91       4.5849       6.2162 2.512905e-03 2.502472e-03 8.463196e-01          N/A 
   92       4.6209       6.2546 2.483995e-03 2.473012e-03 8.462799e-01          N/A 
   93       4.6493       6.2924 2.455748e-03 2.444296e-03 8.462440e-01          N/A 
   94       4.6780       6.3306 2.428175e-03 2.416314e-03 8.462122e-01          N/A 
   95       4.7058       6.3698 2.419931e-03 2.388995e-03 8.463450e-01          N/A 
   96       4.7364       6.4097 2.391580e-03 2.371453e-03 8.459837e-01          N/A 
   97       4.7890       6.4617 2.368971e-03 2.336439e-03 8.462760e-01          N/A 
   98       4.8192       6.5034 2.323890e-03 2.318052e-03 8.461193e-01          N/A 
   99       4.8476       6.5420 2.302954e-03 2.292070e-03 8.460848e-01          N/A 
  100       4.8761       6.5813 2.282328e-03 2.270533e-03 8.460838e-01 3.971761e-01 

